Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|
91412692,-2.52,125.10,9.1,6.94,25.3,26.9
91639838,-2.46,123.52,9.0,7.10,26.2,27.7
91866984,-2.46,121.58,9.2,7.10,27.2,28.7
92094130,-2.40,119.65,9.1,7.27,28.3,29.8
92321276,-2.40,117.71,9.3,7.27,29.4,30.9
92548422,-2.35,115.78,9.3,7.45,30.6,32.0
92775568,-2.35,113.84,9.5,7.45,31.7,33.1
93002714,-2.29,111.73,9.5,7.64,33.1,34.4
93229860,-2.23,109.62,9.5,7.84,34.4,35.7
93457006,-2.23,107.33,9.7,7.84,35.9,37.2
93684152,-2.17,105.22,9.8,8.05,37.3,38.5
93911298,-2.17,103.28,10.0,8.05,38.6,39.9
94138444,-2.11,101.35,10.0,8.27,40.0,41.2
94365590,-2.05,99.41,10.0,8.50,41.4,42.6
94592736,-1.94,97.48,9.7,9.01,42.9,44.0
94819882,-1.88,95.54,9.7,9.29,44.4,45.5
95047028,-1.76,93.26,9.5,9.91,46.3,47.3
95274174,-1.70,90.97,9.5,10.25,48.2,49.2
95501320,-1.58,88.50,9.3,11.00,50.5,51.3
95728466,-1.52,86.04,9.3,11.42,52.7,53.5
95955612,-1.52,83.40,9.8,11.42,55.2,56.0
96182758,-1.52,81.11,10.2,11.42,57.4,58.3
96409904,-1.47,78.83,10.3,11.88,59.8,60.7
96637050,-1.47,76.54,10.9,11.88,62.2,63.2
96864196,-1.47,74.25,11.4,11.88,64.8,65.8
97091342,-1.41,72.14,11.5,12.37,67.4,68.3
97318488,-1.41,69.85,12.2,12.37,70.2,71.2
97545634,-1.41,67.74,12.8,12.37,72.9,74.1
97772780,-1.35,65.63,13.0,12.90,76.0,77.1
97999926,-1.35,63.52,13.8,12.90,79.0,80.2
98227072,-1.35,61.41,14.6,12.90,82.3,83.6
98454218,-1.35,59.30,15.5,12.90,85.7,87.1
98681364,-1.35,57.36,16.5,12.90,89.1,90.6
98908510,-1.29,55.43,16.8,13.49,92.8,94.3
99135656,-1.29,53.49,17.9,13.49,96.6,98.2
99362802,-1.29,51.38,19.3,13.49,101.0,102.8
99589948,-1.29,49.62,20.5,13.49,104.9,106.9
99817094,-1.29,47.68,22.1,13.49,109.4,111.6
100044240,-1.23,45.75,22.8,14.13,114.7,116.9
100271386,-1.23,43.99,24.5,14.13,119.5,122.0
100498532,-1.23,42.23,26.4,14.13,124.6,127.4
100725678,-1.23,40.29,28.8,14.13,130.7,133.9
100952824,-1.23,38.53,31.2,14.13,136.7,140.2
101179970,-1.23,36.95,33.7,14.13,142.5,146.4
101407116,-1.23,35.19,36.9,14.13,149.4,153.9
101634262,-1.23,33.61,40.1,14.13,156.2,161.2
101861408,-1.23,32.02,43.8,14.13,163.4,169.2
102088554,-1.23,30.44,48.1,14.13,171.3,177.9
102315700,-1.23,28.86,53.0,14.13,179.8,187.4
102542846,-1.23,27.27,58.7,14.13,189.0,197.9
102769992,-1.23,25.87,64.5,14.13,197.9,208.1
102997138,-1.23,24.46,71.3,14.13,207.4,219.3
103224284,-1.17,22.87,77.2,14.83,221.4,234.5
103451430,-1.17,21.47,86.3,14.83,233.1,248.5
103678576,-1.17,20.06,97.0,14.83,245.7,264.2
103905722,-1.17,18.65,109.9,14.83,259.4,281.7
104132868,-1.17,17.24,125.2,14.83,274.1,301.3
104360014,-1.17,15.84,143.8,14.83,289.8,323.5
104587160,-1.17,14.43,166.5,14.83,306.3,348.7
104814306,-1.17,13.20,190.6,14.83,321.2,373.5
105041452,-1.17,11.96,219.5,14.83,335.9,401.3
105268598,-1.17,10.56,259.9,14.83,351.5,437.2
105495744,-1.11,9.33,299.8,15.61,377.6,482.1
105722890,-1.11,8.09,353.4,15.61,386.7,523.9
105950036,-1.11,6.86,417.6,15.61,387.8,569.9
106177182,-1.11,5.63,492.3,15.61,375.5,619.1
106404328,-1.11,4.57,562.9,15.61,349.0,662.3
106631474,-1.06,3.52,656.4,16.48,330.7,735.0
106858620,-1.06,2.64,720.4,16.48,272.3,770.2
107085766,-1.00,2.11,790.7,17.44,253.2,830.3
107312912,-1.06,1.76,774.4,16.48,195.1,798.6
107540058,-1.06,1.76,774.4,16.48,195.1,798.6
107767204,-1.06,1.76,774.4,16.48,195.1,798.6
107994350,-1.00,2.11,790.7,17.44,253.2,830.3
108221496,-1.00,2.64,751.3,17.44,300.7,809.2
108448642,-1.00,3.52,678.2,17.44,361.9,768.7
108675788,-1.00,4.40,602.9,17.44,401.9,724.6
108902934,-1.00,5.45,517.1,17.44,427.3,670.8
109130080,-1.00,6.51,441.0,17.44,434.6,619.1
109357226,-1.00,7.57,375.9,17.44,430.2,571.3
109584372,-1.00,8.80,313.3,17.44,416.5,521.2
109811518,-1.00,9.85,269.5,17.44,400.8,483.0
110038664,-1.06,11.09,233.8,16.48,369.0,436.9
110265810,-1.06,12.14,204.7,16.48,353.3,408.3
110492956,-1.00,13.20,174.3,17.44,345.9,387.3
110720102,-1.06,14.25,159.6,16.48,322.5,359.8
110947248,-1.06,15.48,139.4,16.48,305.5,335.8
111174394,-1.00,16.54,119.9,17.44,296.7,320.0
111401540,-1.06,17.60,112.4,16.48,279.0,300.8
111628686,-1.06,18.83,100.0,16.48,265.0,283.2
111855832,-1.00,19.88,86.9,17.44,256.9,271.1
112082978,-1.06,21.11,81.7,16.48,241.7,255.1
112310124,-1.06,22.17,74.9,16.48,232.0,243.8
112537270,-1.06,23.40,68.0,16.48,221.5,231.7
112764416,-1.06,24.46,62.7,16.48,213.1,222.2
112991562,-1.06,25.51,58.1,16.48,205.3,213.3
113218708,-1.06,26.74,53.3,16.48,196.7,203.8
113445854,-1.11,27.80,52.0,15.61,188.6,195.6
113673000,-1.11,28.86,48.6,15.61,182.2,188.6
113900146,-1.06,29.91,43.3,16.48,177.3,182.5
114127292,-1.11,30.97,42.7,15.61,170.6,175.9
114354438,-1.11,31.85,40.5,15.61,166.2,171.0
114581584,-1.11,32.90,38.1,15.61,161.0,165.5
114808730,-1.17,33.78,38.1,14.83,156.2,160.8
115035876,-1.17,34.66,36.3,14.83,152.4,156.6
115263022,-1.17,35.54,34.7,14.83,148.7,152.7
115490168,-1.17,36.42,33.1,14.83,145.2,148.9
115717314,-1.17,37.13,32.0,14.83,142.5,146.0
115944460,-1.17,38.01,30.6,14.83,139.2,142.5
116171606,-1.17,38.89,29.4,14.83,136.0,139.2
116398752,-1.11,39.59,27.1,15.61,134.1,136.8
116625898,-1.11,40.47,26.0,15.61,131.1,133.7
116853044,-1.11,41.35,25.0,15.61,128.3,130.7
117080190,-1.06,42.23,22.8,16.48,125.9,127.9
117307336,-1.06,43.11,22.0,16.48,123.2,125.1
117534482,-1.00,43.99,20.0,17.44,120.9,122.6
117761628,-1.00,45.04,19.2,17.44,117.9,119.5
117988774,-1.00,45.92,18.5,17.44,115.5,117.0
118215920,-0.94,46.80,16.8,18.53,113.4,114.7
118443066,-0.94,47.86,16.2,18.53,110.7,111.9
118670212,-0.88,48.74,14.7,19.76,108.7,109.7
118897358,-0.88,49.79,14.1,19.76,106.2,107.1
119124504,-0.82,50.67,12.8,21.17,104.3,105.1
119351650,-0.82,51.73,12.3,21.17,101.9,102.7
119578796,-0.76,52.79,11.0,22.80,99.8,100.4
119805942,-0.70,53.84,9.8,24.70,97.7,98.2
120033088,-0.70,54.90,9.5,24.70,95.5,96.0
120260234,-0.65,56.13,8.3,26.94,93.2,93.6
120487380,-0.65,57.18,8.1,26.94,91.2,91.5
120714526,-0.59,58.24,7.1,29.63,89.3,89.6
120941672,-0.59,59.30,6.9,29.63,87.4,87.7
121168818,-0.53,60.53,6.0,32.92,85.4,85.6
121395964,-0.53,61.58,5.8,32.92,83.6,83.8
121623110,-0.53,62.82,5.6,32.92,81.6,81.8
121850256,-0.47,64.05,4.8,37.03,79.7,79.9
122077402,-0.47,65.10,4.7,37.03,78.1,78.3
122304548,-0.41,66.33,3.9,42.32,76.4,76.5
122531694,-0.41,67.57,3.8,42.32,74.6,74.7
122758840,-0.29,68.80,2.6,59.24,73.0,73.0
122985986,-0.35,70.03,3.1,49.37,71.3,71.3
123213132,-0.29,71.26,2.5,59.24,69.7,69.7
123440278,-0.29,72.49,2.4,59.24,68.1,68.2
123667424,-0.23,73.72,1.9,74.05,66.7,66.7
123894570,-0.23,74.96,1.8,74.05,65.2,65.2
124121716,-0.23,76.19,1.8,74.05,63.8,63.8
124348862,-0.23,77.60,1.7,74.05,62.2,62.2
124576008,-0.18,78.83,1.3,98.73,60.8,60.8
124803154,-0.12,80.06,0.8,48.10,59.5,59.5
125030300,-0.12,81.47,0.8,48.10,58.1,58.1
125257446,-0.12,82.87,0.8,48.10,56.6,56.6
125484592,-0.12,84.28,0.7,48.10,55.3,55.3
125711738,-0.06,85.51,0.4,96.19,54.1,54.1
125938884,-0.06,86.92,0.4,96.19,52.8,52.8
126166030,-0.06,88.33,0.3,96.19,51.5,51.5
126393176,-0.06,89.56,0.3,96.19,50.4,50.4
126620322,-0.00,90.97,0.0,?,49.2,49.2
126847468,-0.00,92.38,0.0,?,48.0,48.0
127074614,-0.00,93.78,0.0,?,46.8,46.8
127301760,0.06,95.19,0.3,96.19,45.7,45.7
127528906,0.06,96.60,0.3,96.19,44.5,44.5
127756052,0.06,98.01,0.3,96.19,43.5,43.5
127983198,0.06,99.41,0.3,96.19,42.4,42.4
128210344,0.12,101.00,0.6,48.10,41.2,41.2
128437490,0.12,102.40,0.6,48.10,40.2,40.2
128664636,0.12,103.99,0.5,48.10,39.1,39.1
128891782,0.18,105.57,0.8,98.73,38.0,38.0
129118928,0.18,106.98,0.8,98.73,37.0,37.0
129346074,0.18,108.56,0.8,98.73,35.9,36.0
129573220,0.23,110.15,1.0,74.05,34.9,34.9
129800366,0.23,111.73,1.0,74.05,33.9,33.9
130027512,0.29,113.49,1.2,59.24,32.8,32.8
130254658,0.29,115.25,1.2,59.24,31.7,31.7
130481804,0.29,116.83,1.2,59.24,30.7,30.8
130708950,0.35,118.59,1.4,49.37,29.7,29.7
130936096,0.35,120.35,1.3,49.37,28.6,28.7
131163242,0.35,122.11,1.3,49.37,27.6,27.7
131390388,0.35,123.87,1.3,49.37,26.6,26.7
131617534,0.35,125.81,1.3,49.37,25.6,25.6
131844680,0.41,127.57,1.5,42.32,24.6,24.6
132071826,0.41,129.50,1.4,42.32,23.6,23.6
132298972,0.41,131.44,1.4,42.32,22.5,22.6
132526118,0.41,133.37,1.4,42.32,21.5,21.6
132753264,0.41,135.31,1.4,42.32,20.5,20.6
132980410,0.41,137.24,1.4,42.32,19.6,19.6
133207556,0.41,139.18,1.3,42.32,18.6,18.6
133434702,0.41,141.11,1.3,42.32,17.6,17.7
133661848,0.41,143.23,1.3,42.32,16.6,16.7
133888994,0.41,145.16,1.3,42.32,15.7,15.7
134116140,0.41,147.27,1.3,42.32,14.7,14.7
134343286,0.41,149.21,1.3,42.32,13.8,13.8
134570432,0.41,151.32,1.3,42.32,12.8,12.8
134797578,0.41,153.43,1.2,42.32,11.8,11.9
135024724,0.41,155.54,1.2,42.32,10.8,10.9
135251870,0.41,157.65,1.2,42.32,9.9,9.9
135479016,0.47,159.94,1.4,37.03,8.8,8.9
135706162,0.53,162.05,1.6,32.92,7.9,8.0
135933308,0.47,164.52,1.4,37.03,6.8,6.9
136160454,0.53,166.80,1.5,32.92,5.8,6.0
136387600,0.47,169.09,1.4,37.03,4.8,5.0
136614746,0.53,171.38,1.5,32.92,3.8,4.1
136841892,0.47,173.84,1.4,37.03,2.7,3.0
137069038,0.47,176.30,1.4,37.03,1.6,2.1
137296184,0.47,178.59,1.4,37.03,0.6,1.5
137523330,0.47,180.00,1.4,37.03,0.0,1.4
137750476,0.41,180.00,1.2,42.32,0.0,1.2
137977622,0.41,179.65,1.2,42.32,0.2,1.2
138204768,0.41,177.01,1.2,42.32,1.3,1.8
138431914,0.35,174.55,1.0,49.37,2.4,2.6
138659060,0.35,171.91,1.0,49.37,3.5,3.7
138886206,0.35,169.44,1.0,49.37,4.6,4.7
139113352,0.29,166.63,0.9,59.24,5.9,5.9
139340498,0.29,163.99,0.9,59.24,7.0,7.1
139567644,0.29,161.35,0.9,59.24,8.2,8.3
139794790,0.23,158.71,0.7,74.05,9.4,9.4
140021936,0.18,156.07,0.5,98.73,10.6,10.6
140249082,0.18,153.26,0.5,98.73,11.9,11.9
140476228,0.12,150.44,0.4,48.10,13.2,13.2
140703374,0.06,147.80,0.2,96.19,14.4,14.4
140930520,0.06,145.16,0.2,96.19,15.7,15.7
141157666,-0.00,142.52,0.0,?,17.0,17.0
141384812,-0.06,139.71,0.2,96.19,18.3,18.3
141611958,-0.12,137.07,0.4,48.10,19.7,19.7
141839104,-0.18,134.43,0.6,98.73,21.0,21.0
142066250,-0.18,131.79,0.6,98.73,22.4,22.4
142293396,-0.23,129.33,0.8,74.05,23.7,23.7
142520542,-0.29,126.69,1.1,59.24,25.1,25.1
142747688,-0.29,124.05,1.1,59.24,26.5,26.6
142974834,-0.35,121.41,1.3,49.37,28.0,28.1
143201980,-0.41,118.59,1.6,42.32,29.7,29.7
143429126,-0.41,115.78,1.6,42.32,31.4,31.4
143656272,-0.47,113.14,1.9,37.03,33.0,33.0
143883418,-0.47,110.50,2.0,37.03,34.6,34.7
144110564,-0.53,107.68,2.3,32.92,36.5,36.6
144337710,-0.59,105.04,2.7,29.63,38.3,38.4
144564856,-0.65,102.58,3.0,26.94,40.0,40.1
144792002,-0.70,100.12,3.4,24.70,41.8,41.9
145019148,-0.76,97.65,3.9,22.80,43.6,43.8
145246294,-0.76,95.01,4.0,22.80,45.6,45.8
145473440,-0.82,92.73,4.5,21.17,47.5,47.7
145700586,-0.82,90.26,4.7,21.17,49.5,49.8
145927732,-0.88,87.62,5.3,19.76,51.8,52.1
146154878,-0.88,85.16,5.5,19.76,54.1,54.4
146382024,-0.94,82.87,6.1,18.53,56.3,56.6
146609170,-0.94,80.41,6.4,18.53,58.7,59.1
146836316,-1.00,77.95,7.2,17.44,61.3,61.7
147063462,-1.00,75.48,7.6,17.44,64.0,64.5
147290608,-1.06,73.02,8.5,16.48,66.8,67.4
147517754,-1.06,70.73,9.0,16.48,69.7,70.3
147744900,-1.11,68.45,10.0,15.61,72.6,73.3
147972046,-1.11,66.16,10.6,15.61,75.7,76.5
148199192,-1.17,63.87,11.9,14.83,78.9,79.8
148426338,-1.17,61.58,12.7,14.83,82.5,83.4
148653484,-1.23,59.30,14.2,14.13,86.1,87.2
148880630,-1.23,57.18,15.2,14.13,89.8,91.0
149107776,-1.29,55.07,17.0,13.49,93.5,95.0
149334922,-1.29,52.79,18.4,13.49,98.0,99.7
149562068,-1.35,50.67,20.6,12.90,102.2,104.3
149789214,-1.35,48.56,22.3,12.90,107.0,109.3
150016360,-1.41,46.45,25.1,12.37,111.8,114.6
150243506,-1.41,44.34,27.3,12.37,117.3,120.4
150470652,-1.47,42.23,31.0,11.88,122.7,126.6
150697798,-1.47,40.12,34.0,11.88,129.1,133.5
150924944,-1.47,38.18,37.2,11.88,135.4,140.4
151152090,-1.52,36.07,42.6,11.42,142.1,148.4
151379236,-1.52,33.96,47.4,11.42,150.2,157.5
151606382,-1.58,32.02,54.3,11.00,157.0,166.2
151833528,-1.58,30.09,60.5,11.00,165.6,176.3
152060674,-1.64,28.15,69.8,10.61,173.2,186.7
152287820,-1.70,26.04,81.6,10.25,181.8,199.3
152514966,-1.70,24.11,92.6,10.25,191.9,213.0
152742112,-1.76,22.35,106.6,9.91,198.7,225.5
152969258,-1.82,20.41,124.4,9.59,205.7,240.4
153196404,-1.88,18.65,143.4,9.29,210.5,254.7
153423550,-1.94,16.72,167.2,9.01,214.1,271.6
153650696,-1.99,14.96,191.9,8.75,213.8,287.3
153877842,-2.05,13.20,219.0,8.50,209.6,303.1
154104988,-2.11,11.44,247.7,8.27,200.1,318.4
154332134,-2.23,9.68,274.0,7.84,177.6,326.6
154559280,-2.29,8.27,294.2,7.64,158.8,334.3
154786426,-2.35,6.69,314.2,7.45,133.8,341.6
155013572,-2.46,5.28,321.3,7.10,102.8,337.4
155240718,-2.52,4.22,326.0,6.94,81.5,336.0
155467864,-2.64,3.17,321.1,6.63,57.5,326.2
155695010,-2.76,2.46,312.1,6.35,41.6,314.8
155922156,-2.87,2.11,301.3,6.10,32.9,303.1
156149302,-2.93,1.76,296.6,5.98,26.5,297.7
156376448,-3.05,1.76,285.6,5.75,24.5,286.6
156603594,-3.17,1.76,275.3,5.55,22.7,276.3
156830740,-3.23,1.76,270.5,5.45,21.9,271.4
157057886,-3.28,1.76,265.9,5.35,21.1,266.7
157285032,-3.34,1.94,261.0,5.26,22.3,262.0
157512178,-3.34,1.94,261.0,5.26,22.3,262.0
157739324,-3.28,1.94,265.5,5.35,23.2,266.5
157966470,-3.28,1.94,265.5,5.35,23.2,266.5
158193616,-3.17,2.11,274.5,5.55,27.1,275.8
158420762,-3.11,2.11,279.5,5.65,28.2,280.9
158647908,-2.99,2.29,289.4,5.86,32.9,291.3
158875054,-2.87,2.64,299.2,6.10,40.9,302.0
159102200,-2.76,2.99,309.4,6.35,50.0,313.5
159329346,-2.70,3.70,311.2,6.49,63.5,317.6
159556492,-2.58,4.40,318.0,6.78,80.9,328.1
159783638,-2.46,5.28,321.3,7.10,102.8,337.4
160010784,-2.35,6.33,319.4,7.45,128.9,344.4
160237930,-2.29,7.39,308.5,7.64,148.9,342.5
160465076,-2.17,8.62,295.8,8.05,175.6,344.0
160692222,-2.11,10.03,272.9,8.27,193.6,334.6
160919368,-2.05,11.26,252.1,8.50,206.4,325.8
161146514,-1.99,12.67,227.9,8.75,215.8,313.8
161373660,-1.94,13.90,207.2,9.01,221.6,303.4
161600806,-1.88,15.13,187.4,9.29,224.6,292.5
161827952,-1.88,16.36,170.3,9.29,220.3,278.4
162055098,-1.82,17.42,155.4,9.59,220.6,269.8
162282244,-1.82,18.48,143.4,9.59,215.5,258.8
162509390,-1.76,19.53,130.5,9.91,214.0,250.6
162736536,-1.76,20.59,120.8,9.91,208.2,240.7
162963682,-1.70,21.64,109.8,10.25,205.5,233.0
163190828,-1.64,22.70,99.7,10.61,202.3,225.5
163417974,-1.58,23.75,90.4,11.00,198.7,218.3
163645120,-1.52,24.81,81.9,11.42,194.7,211.2
163872266,-1.52,26.04,75.4,11.42,187.7,202.3
164099412,-1.47,27.27,67.6,11.88,182.6,194.7
164326558,-1.41,28.50,60.6,12.37,177.6,187.6
164553704,-1.41,29.56,56.8,12.37,172.1,181.2
164780850,-1.35,30.79,50.9,12.90,167.2,174.8
165007996,-1.35,32.02,47.5,12.90,161.4,168.3
165235142,-1.29,33.08,43.1,13.49,157.6,163.4
165462288,-1.29,34.31,40.3,13.49,152.3,157.5
165689434,-1.29,35.54,37.8,13.49,147.3,152.0
165916580,-1.23,36.60,34.3,14.13,143.8,147.9
166143726,-1.23,37.65,32.6,14.13,139.9,143.6
166370872,-1.17,38.89,29.4,14.83,136.0,139.2
166598018,-1.17,40.12,27.7,14.83,131.8,134.7
166825164,-1.17,41.17,26.4,14.83,128.4,131.1
167052310,-1.11,42.23,24.0,15.61,125.5,127.8
167279456,-1.11,43.46,22.8,15.61,121.8,123.9
167506602,-1.11,44.52,21.8,15.61,118.8,120.7
167733748,-1.06,45.57,19.8,16.48,116.2,117.8
167960894,-1.06,46.63,19.0,16.48,113.3,114.9
168188040,-1.06,47.68,18.2,16.48,110.6,112.1
168415186,-1.06,48.56,17.6,16.48,108.5,109.9
168642332,-1.00,49.62,16.0,17.44,106.2,107.4
168869478,-1.00,50.67,15.4,17.44,103.7,104.9
169096624,-1.00,51.73,14.9,17.44,101.4,102.5
169323770,-0.94,52.61,13.6,18.53,99.7,100.6
169550916,-0.94,53.67,13.1,18.53,97.4,98.3
169778062,-0.88,54.72,11.9,19.76,95.5,96.2
170005208,-0.88,55.60,11.5,19.76,93.7,94.4
170232354,-0.88,56.66,11.1,19.76,91.7,92.4
170459500,-0.82,57.71,10.1,21.17,89.9,90.4
170686646,-0.70,58.77,8.4,24.70,88.2,88.6
170913792,-0.76,59.65,8.8,22.80,86.5,87.0
171140938,-0.65,60.70,7.2,26.94,84.9,85.2
171368084,-0.65,61.94,7.0,26.94,82.9,83.2
171595230,-0.59,62.99,6.2,29.63,81.3,81.5
171822376,-0.59,64.05,6.0,29.63,79.6,79.8
172049522,-0.53,65.10,5.2,32.92,78.1,78.3
172276668,-0.47,66.16,4.5,37.03,76.6,76.7
172503814,-0.47,67.21,4.4,37.03,75.1,75.2
172730960,-0.41,68.27,3.7,42.32,73.6,73.7
172958106,-0.41,69.50,3.6,42.32,71.9,72.0
173185252,-0.41,70.56,3.5,42.32,70.6,70.6
173412398,-0.35,71.79,2.9,49.37,69.0,69.1
173639544,-0.29,72.84,2.4,59.24,67.7,67.8
173866690,-0.29,74.08,2.3,59.24,66.2,66.2
174093836,-0.29,75.13,2.3,59.24,65.0,65.0
174320982,-0.23,76.36,1.8,74.05,63.5,63.6
174548128,-0.23,77.42,1.7,74.05,62.4,62.4
174775274,-0.18,78.65,1.3,98.73,61.0,61.0
175002420,-0.18,79.71,1.2,98.73,59.9,59.9
175229566,-0.12,80.94,0.8,48.10,58.6,58.6
175456712,-0.12,82.17,0.8,48.10,57.3,57.3
175683858,-0.12,83.40,0.8,48.10,56.1,56.1
175911004,-0.06,84.63,0.4,96.19,54.9,54.9
176138150,-0.06,85.87,0.4,96.19,53.7,53.7
176365296,-0.00,87.10,0.0,?,52.6,52.6
176592442,-0.00,88.33,0.0,?,51.5,51.5
176819588,0.06,89.56,0.3,96.19,50.4,50.4
177046734,0.12,90.79,0.7,48.10,49.3,49.3
177273880,0.12,92.20,0.7,48.10,48.1,48.1
177501026,0.18,93.43,1.0,98.73,47.1,47.1
177728172,0.18,94.66,0.9,98.73,46.1,46.1
177955318,0.23,95.89,1.2,74.05,45.1,45.1
178182464,0.23,97.13,1.2,74.05,44.1,44.1
178409610,0.23,98.53,1.2,74.05,43.0,43.1
178636756,0.29,99.94,1.4,59.24,42.0,42.0
178863902,0.29,101.17,1.4,59.24,41.1,41.1
179091048,0.29,102.58,1.4,59.24,40.1,40.1
179318194,0.35,103.81,1.6,49.37,39.2,39.2
179545340,0.35,105.22,1.6,49.37,38.2,38.2
179772486,0.35,106.63,1.6,49.37,37.2,37.3
